,Username,Played,Won,Tag_bg_blue,Tag_bg_cosmic,Tag_bg_geometric,Tag_bg_green,Tag_bg_nature,Tag_bg_oddysey,Tag_bg_orange,Tag_bg_purple,K_Won,A_Won,R_Won,H_Won,W_Won,B_Won,M_Won,G_Won,K_Played,A_Played,R_Played,H_Played,W_Played,B_Played,M_Played,G_Played,Accepting_games_False,Accepting_games_True,Skill_points,Badge_0,Badge_1,Badge_2,Badge_3,Badge_4,Badge_5,Badge_6,Badge_7,Badge_8,Badge_9,Badge_10,Badge_11,Badge_12,Badge_13,Badge_14,Badge_15,Badge_16,Badge_17,Badge_18,Badge_19,Badge_20,Badge_21,Badge_22,Badge_23,Badge_24,Badge_25,Badge_26,Badge_27,Badge_28,Badge_29,Badge_30,Badge_31,Badge_32,Badge_33,Badge_34,Badge_35,Badge_36,Badge_37,Badge_38,Badge_39,Badge_40,Badge_41,Badge_42,Badge_43,Elo,Current_season_skill,Win_rate,Last_game_result_1.0
0,JustJoe242,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1183.281224457455,0,0.0,1.0
1,AethelredVS,4,2,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,3,2,1,1,1,0,0,0,0,1,80.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,80.0,0.0,0.0,2.0,2.0,57.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,80.0,0.0,50.0,1219.0701446517521,80,0.5,1.0
2,wasyl2001,3,3,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,220.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,220.0,0.0,0.0,3.0,3.0,66.0,0.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,220.0,2380.0,0.0,1190.2638055427544,220,1.0,1.0
3,Suzs,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,1,35.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,42.0,207.0,0.0,1.0,0.0,61.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1195.848690488812,0,0.3333333333333333,0.0
4,SGUNNER07,5,3,0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,1,2,2,5,0,0,0,0,0,1,103.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,112.0,0.0,0.0,2.0,0.0,60.0,0.0,5.0,5.0,1.0,0.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,112.0,28.0,71.0,1214.7716995447954,103,0.6,1.0
5,MarkyMark74,5,3,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,2,3,3,2,0,0,0,0,1,0,124.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,125.0,1290.0,80.0,2.0,0.0,66.0,0.0,5.0,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1205.2764502636276,0,0.6,1.0
6,sophc9797,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,30.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,55.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,40.0,0.0,0.0,1182.3951556066572,30,0.3333333333333333,0.0
7,mumdoc,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,34.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,42.0,193.0,0.0,1.0,0.0,54.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1199.768875379828,0,0.5,1.0
8,The_big_Ali,6,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,4,6,1,0,0,0,0,0,1,45.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,56.0,0.0,6.0,6.0,0.0,0.0,1.0,4.0,3.0,12.0,1.0,13.0,0.0,0.0,4.0,1.0,0.0,50.0,2133.0,0.0,911.0690349274735,45,0.16666666666666666,0.0
9,simtsui,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1125.4712117421136,0,0.0,0.0
