,Username,Played,Won,Tag_bg_blue,Tag_bg_cosmic,Tag_bg_geometric,Tag_bg_green,Tag_bg_nature,Tag_bg_oddysey,Tag_bg_orange,Tag_bg_purple,K_Won,A_Won,R_Won,H_Won,W_Won,B_Won,M_Won,G_Won,K_Played,A_Played,R_Played,H_Played,W_Played,B_Played,M_Played,G_Played,Accepting_games_False,Accepting_games_True,Skill_points,Badge_0,Badge_1,Badge_2,Badge_3,Badge_4,Badge_5,Badge_6,Badge_7,Badge_8,Badge_9,Badge_10,Badge_11,Badge_12,Badge_13,Badge_14,Badge_15,Badge_16,Badge_17,Badge_18,Badge_19,Badge_20,Badge_21,Badge_22,Badge_23,Badge_24,Badge_25,Badge_26,Badge_27,Badge_28,Badge_29,Badge_30,Badge_31,Badge_32,Badge_33,Badge_34,Badge_35,Badge_36,Badge_37,Badge_38,Badge_39,Badge_40,Badge_41,Badge_42,Badge_43,Elo,Current_season_skill,Win_rate,Last_game_result_1.0
0,JustJoe242,0.0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031847133757961785,0.0,0.0013386880856760374,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0013404825737265416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005202913631633715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002105263157894737,0.0,0.0,0.0,0.0,0.07692307692307693,0.2,0.0,0.0,0.0,0.0,0.38416655267911376,0.0,0.0,1.0
1,AethelredVS,0.0029910269192422734,0.003780718336483932,0,0,0,1,0,0,0,0,0.01092896174863388,0.0030120481927710845,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.009554140127388535,0.0026109660574412533,0.0013386880856760374,0.00980392156862745,0.0022222222222222222,0.0,0.0,0.0,0,1,0.004841442749939482,0.01818181818181818,0.01092896174863388,0.005263157894736842,0.0030120481927710845,0.0,0.0,0.012345679012345678,0.0,0.0,0.00392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.013007284079084287,0.0,0.0,0.004841442749939482,0.0,0.0,0.13333333333333333,0.4,0.31746031746031744,0.0,0.0030272452068617556,0.00261437908496732,0.0,0.012195121951219513,0.003780718336483932,0.0025252525252525255,0.02857142857142857,0.003157894736842105,0.0,0.0,0.0029585798816568047,0.0,0.15384615384615385,0.0,0.0024449877750611247,0.006473539407671145,0.0,0.004552075746540422,0.38839353721532066,0.006473539407671145,0.5,1.0
2,wasyl2001,0.0019940179461615153,0.005671077504725898,0,1,0,0,0,0,0,0,0.0,0.009036144578313253,0.00946372239747634,0.0,0.0,0.0,0.0,0.0,0.0,0.0039164490861618795,0.004016064257028112,0.0,0.0,0.0,0.0,0.0,0,1,0.013313967562333575,0.0,0.0,0.0,0.009036144578313253,0.004021447721179625,0.00946372239747634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036420395421436005,0.05,0.14285714285714285,0.013313967562333575,0.0,0.0,0.2,0.6,0.4603174603174603,0.0,0.0020181634712411706,0.00261437908496732,0.005847953216374269,0.0,0.005671077504725898,0.0,0.0,0.003157894736842105,0.002898550724637681,0.0,0.0,0.0,0.0,0.0,0.004889975550122249,0.017802233371095648,0.21784897025171623,0.0,0.38499125658496325,0.017802233371095648,1.0,1.0
3,Suzs,0.0019940179461615153,0.001890359168241966,0,0,0,1,0,0,0,0,0.00546448087431694,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.006369426751592357,0.0013054830287206266,0.002677376171352075,0.00980392156862745,0.0,0.0,0.0,0.0,0,1,0.0021181312030985233,0.00909090909090909,0.00546448087431694,0.0,0.0030120481927710845,0.0013404825737265416,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006243496357960458,0.0,0.0,0.002541757443718228,0.04898248935163275,0.0,0.06666666666666667,0.0,0.38095238095238093,0.0,0.0020181634712411706,0.00130718954248366,0.0,0.0,0.001890359168241966,0.0,0.0,0.0010526315789473684,0.0,0.0,0.0,0.0,0.07692307692307693,0.2,0.0,0.0,0.0,0.0,0.3856508803505118,0.0,0.3333333333333333,0.0
4,SGUNNER07,0.003988035892323031,0.005671077504725898,0,0,0,0,0,0,0,1,0.00546448087431694,0.006024096385542169,0.0,0.05660377358490566,0.0,0.0,0.0,0.0,0.0031847133757961785,0.0026109660574412533,0.002677376171352075,0.049019607843137254,0.0,0.0,0.0,0.0,0,1,0.006233357540547083,0.00909090909090909,0.00546448087431694,0.0,0.006024096385542169,0.002680965147453083,0.0,0.024691358024691357,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015088449531737774,0.0,0.0,0.006778019849915275,0.0,0.0,0.13333333333333333,0.0,0.36507936507936506,0.0,0.004036326942482341,0.00522875816993464,0.005847953216374269,0.0,0.005671077504725898,0.005050505050505051,0.02857142857142857,0.003157894736842105,0.002898550724637681,0.0,0.0029585798816568047,0.0,0.07692307692307693,0.2,0.007334963325183374,0.009062955170739602,0.002562929061784897,0.0064639475600873995,0.38788585324781905,0.008334681987376599,0.6,1.0
5,MarkyMark74,0.003988035892323031,0.005671077504725898,0,0,0,0,0,0,0,1,0.00546448087431694,0.0030120481927710845,0.006309148264984227,0.03773584905660377,0.0,0.0,0.0,0.0,0.006369426751592357,0.0039164490861618795,0.004016064257028112,0.0196078431372549,0.0,0.0,0.0,0.0,1,0,0.007504236262406197,0.0,0.00546448087431694,0.005263157894736842,0.0030120481927710845,0.002680965147453083,0.006309148264984227,0.024691358024691357,0.03773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008324661810613945,0.0,0.0,0.00756475429678044,0.30525319451017513,0.01910675901600191,0.13333333333333333,0.0,0.4603174603174603,0.0,0.004036326942482341,0.00261437908496732,0.005847953216374269,0.0,0.005671077504725898,0.0,0.0,0.002105263157894737,0.0,0.0,0.0,0.0,0.07692307692307693,0.2,0.0,0.0,0.0,0.0,0.3867643812486353,0.0,0.6,1.0
6,sophc9797,0.0019940179461615153,0.001890359168241966,0,0,0,1,0,0,0,0,0.00546448087431694,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.009554140127388535,0.0026109660574412533,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0,1,0.0018155410312273058,0.01818181818181818,0.00546448087431694,0.005263157894736842,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006763787721123829,0.0,0.0,0.002420721374969741,0.0,0.0,0.06666666666666667,0.0,0.2857142857142857,0.0,0.0020181634712411706,0.00261437908496732,0.0,0.0,0.001890359168241966,0.0,0.0,0.0,0.0,0.0,0.0029585798816568047,0.0,0.07692307692307693,0.2,0.0,0.0032367697038355723,0.0,0.0,0.3840619001970047,0.002427577277876679,0.3333333333333333,0.0
7,mumdoc,0.0009970089730807576,0.001890359168241966,0,0,0,1,0,0,0,0,0.0,0.0030120481927710845,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0,0.0013054830287206266,0.002677376171352075,0.00980392156862745,0.0,0.0,0.0,0.0,1,0,0.00205761316872428,0.0,0.0,0.0,0.0030120481927710845,0.002680965147453083,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005202913631633715,0.0,0.0,0.002541757443718228,0.045669663984855655,0.0,0.06666666666666667,0.0,0.2698412698412698,0.0,0.0010090817356205853,0.00130718954248366,0.005847953216374269,0.0,0.001890359168241966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.2,0.0,0.0,0.0,0.0,0.3861138884777041,0.0,0.5,1.0
8,The_big_Ali,0.004985044865403789,0.001890359168241966,0,0,0,0,0,0,1,0,0.0,0.0030120481927710845,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0031847133757961785,0.005221932114882507,0.008032128514056224,0.00980392156862745,0.0,0.0,0.0,0.0,0,1,0.0027233115468409588,0.0,0.0,0.0,0.0030120481927710845,0.00804289544235925,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015608740894901144,0.0,0.0,0.0030259017187121763,0.0,0.0,0.06666666666666667,0.0,0.30158730158730157,0.0,0.005045408678102927,0.006535947712418301,0.0,0.0,0.001890359168241966,0.010101010101010102,0.08571428571428572,0.01263157894736842,0.002898550724637681,0.027600849256900213,0.0,0.0,0.3076923076923077,0.2,0.0,0.004045962129794465,0.19524027459954232,0.0,0.3520159119371331,0.0036413659168150186,0.16666666666666666,0.0
9,simtsui,0.0009970089730807576,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006369426751592357,0.0,0.0013386880856760374,0.00980392156862745,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0013404825737265416,0.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006243496357960458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07936507936507936,0.0,0.0010090817356205853,0.00130718954248366,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.15384615384615385,0.4,0.0,0.0,0.0,0.0,0.37733868448809155,0.0,0.0,0.0
