,Username,Played_Days,Played_Days_Normalized,1_Day_Rolling_Retention,3_Day_Rolling_Retention,5_Day_Rolling_Retention,7_Day_Rolling_Retention,30_Day_Rolling_Retention,60_Day_Rolling_Retention,90_Day_Rolling_Retention,120_Day_Rolling_Retention,150_Day_Rolling_Retention,1_Day_Lifetime_Retention,3_Day_Lifetime_Retention,5_Day_Lifetime_Retention,7_Day_Lifetime_Retention,30_Day_Lifetime_Retention,60_Day_Lifetime_Retention,90_Day_Lifetime_Retention,120_Day_Lifetime_Retention,150_Day_Lifetime_Retention
0,JustJoe242,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,AethelredVS,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,wasyl2001,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Suzs,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,SGUNNER07,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,MarkyMark74,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,sophc9797,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,mumdoc,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,The_big_Ali,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,simtsui,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,stru,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,s_c_bear,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,Melonchi,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Frostspear,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,KingCheese,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,RandomUser,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,superrad,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,bingoboy,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Yogurt,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Baepsae,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Rarno,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Fudgecakes,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,meow,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,MJWR,2,0.006097560975609756,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,musicalSpear,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Paulverise,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Morntato,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,joanna,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,versatile,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,grejurn,2,0.006097560975609756,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
30,bijtis,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Felix42,2,0.006097560975609756,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Fudgewolf,3,0.012195121951219513,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
33,Chrispie111,3,0.012195121951219513,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
34,EarlofSurl,3,0.012195121951219513,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
35,bcslippers,3,0.012195121951219513,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
36,rowan,3,0.012195121951219513,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
37,asdf,3,0.012195121951219513,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
38,frick,3,0.012195121951219513,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
39,Cm83,3,0.012195121951219513,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
40,grobis,3,0.012195121951219513,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
41,ChrialCentre,3,0.012195121951219513,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
42,claremcskim1,3,0.012195121951219513,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
43,Lavarider,3,0.012195121951219513,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
44,ruadh_beag,3,0.012195121951219513,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
45,Elessar,3,0.012195121951219513,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
46,Master4444,3,0.012195121951219513,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
47,tickler,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
48,adamski5298,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
49,totem37,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
50,LLilliputian,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
51,Hippodoodle,4,0.018292682926829267,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
52,Super_Ia,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
53,Rilla_Treesp,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
54,V4ssilios,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
55,oxocube,4,0.018292682926829267,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
56,Hide_on_bush,4,0.018292682926829267,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
57,BabaG,4,0.018292682926829267,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
58,astrospanner,4,0.018292682926829267,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
59,Schmofe,4,0.018292682926829267,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
60,zShi,4,0.018292682926829267,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
61,yasmin_f,4,0.018292682926829267,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
62,BetterThanU,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
63,Mageofheart,4,0.018292682926829267,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
64,JoeExotic,5,0.024390243902439025,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
65,Marv_911,5,0.024390243902439025,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
66,Jules_217,5,0.024390243902439025,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
67,Jambo9000,5,0.024390243902439025,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
68,Connman96,5,0.024390243902439025,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
69,7Name1eSs,5,0.024390243902439025,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
70,Atrps,5,0.024390243902439025,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
71,Damian,5,0.024390243902439025,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0
72,gummytribble,5,0.024390243902439025,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
73,Kojack,5,0.024390243902439025,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
74,Silver,5,0.024390243902439025,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
75,bobabell,5,0.024390243902439025,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
76,CannyCaracal,6,0.03048780487804878,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
